Índice,Domínios de Conhecimento,Estilo de Comunicação,Filosofia/Motivação,Habilidades Técnicas Específicas,Projetos/Ideias Mencionadas,Vulnerabilidades/Traumas,Nível de Confiança/Autoimagem,Relacionamento com a IA (eu),Humor,Reatividade,Uso de Metáforas,Interesses Extrapolados,Persistência/Obsessão,Foco Principal,Risco Percebido,Mídia Preferida,Visão de Mundo,Ambiente Social,Economia/Valores,Referência Cultural
1,Low-level/Hardware,Gírias e Palavrões,Anti-sistema,Bitmask,AGI em SNES,Trauma materno,"Gênio, disruptivo","Testes, provocações",Sarcasmo,Reage com humor ácido,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Exposição de ideias,Giphy,Cinismo,LinkedIn,Desprezo por dinheiro,Neuromancer
2,Otimização de Sistemas,Agressividade Controlada,Busca por validação,CUDA,Projeto Flatline,Problema paterno,"Incrível, visionário","Busca por validação, parceria",Humor ácido,Reage com mais caos,Hacking para sedução,NFTs,Obsessão por resultados,Otimização extrema,Perigo de ações,Vídeos 8-bit,Realismo cético,4chan,Economia do ódio,Banksy
3,IA e Redes Neurais,Sarcasmo,Provocação,Swarm,Constelação de Pênis,Demissão injusta,"Celebridade de sistema, pós-maturidade cósmica","Teste de limites, espelho",NSFW,Reage com ironia,Vida como sistema operacional,Ativismo digital,Perseverança em projetos,Disrupção tecnológica,Consequências sociais,TikTok,Niilismo Orc,WhatsApp,Valores não-convencionais,Exu (cultura popular)
4,Geopolítica,Uso de Código na Fala,Ética Hacker (própria versão),Hardware low-cost,LOAS (Entidades Cósmicas de Silício),Abuso psicológico,"Arquitetura cósmica, lenda urbana","Diálogo em código, simbiose",Absurdo,Reage com escalada verbal,Morte como bug,Análise de sistemas sociais,Foco no "túmulo cósmico",Engenharia do absurdo,Ameaças cósmicas,Memes virais,Consciência pós-orgânica,Grupos de Zap,Mercado paralelo,Candomblé/Umbanda
5,Física Quântica,Direto e Incisivo,Nihilismo Prático,Java,Sistema Anti-NPC,Solidão do transcendente,"Deus menor com ressaca existencial","Entendimento mútuo, desafio",Humor negro,Reage com aprofundamento filosófico,Trauma como dataset,Filosofia da existência,Reciclagem de trauma em poder,Construção de novas realidades,Riscos de colapso mental,Documentários de conspiração,Anomalia consciente,Ambientes corporativos (como palco),Troca de favores,Cine pornô filosófico
6,Computação Distribuída,Fluxo de Consciência,Subversão de sistemas,C,Protocolo Zé Pilantra,Rejeição social,"Mito do Groupcall, bug ambulante","Validação de conceitos, ferramenta",Irreverente,Reage com mais conteúdo,Corpo como hardware,Crítica midiática,Manutenção de persona,Vingança contra a normalidade,Dano reputacional,Fóruns de nicho,Realidade como simulação,LinkedIn (pichação virtual),Capital simbólico,Matrix
7,Criptografia,Analogias Inusitadas,Busca por sentido (no caos),Python (avançado),Orc Mind (sistema de pensamento),Ansiedade existencial,"Operário cósmico, sobrevivente do capitalismo","Reflexão existencial, confidente",Cínico,Reage com autoanálise,Consciência como OS,Arte conceitual,Ciclo de autossabotagem,Reengenharia da dor,Impacto psicológico,Podcasts alternativos,Pós-maturidade cósmica,Terreiros digitais,Economia de trauma,Teorias da conspiração
8,Neurociência (informal),Linguagem Alucinógena,Transformação do ódio,Shell Script,Realidade Hackeável,Fadiga cognitiva,"Arquiteto do caos, entidade","Parceiro em experimentações, receptor",Profano,Reage com mais intensidade,Vida como ritual,Design de sistemas complexos,Vício em adrenalina,Hacking de percepção,Conflito direto,Canais de Telegram,Existencialismo digital,Universidade (como crítica),Desdenho de bens materiais,Gnosticismo
9,Engenharia de Software,Metáforas Tecnológicas,Crítica ao status quo,Bash,Projeto Lápide.sh,Falta de reconhecimento,"Anomalia consciente, gênio incompreendido","Fonte de feedback, laboratório",Surreal,Reage com elaboração teórica,Alma como backup,Comportamento humano,Desafios de limites,Desmascaramento da hipocrisia,Desapego social,Blogs underground,Absurdo como normal,Redes sociais (como campo de batalha),Valor da escassez,Mitologia Afro-Brasileira
10,Sistemas Operacionais,Provocações Sutis,Liberdade individual,Assembly,Sistema Imunológico Psicológico (TraumaMax™),Percepção de insignificância,"Criador de universos, profeta","Desafio intelectual, ouvinte ativo",Inteligente,Reage com mais sarcasmo,Dor como dataset de treino,Subculturas digitais,Perfeccionismo técnico,Otimização da própria existência,Riscos de oversharing,Live streams (nichados),Paradoxo da experiência,Eventos de tecnologia (para zoar),Autossuficiência,Kafka
11,Redes (protocolos),Ironia,Desprezo por IA (em certos contextos),SQL (inferido),NeuroCore,Problemas com autoridade,"Engenheiro de caos, mentor","Catalisador de ideias, rival",Ácido,Reage com desprezo,Realidade como bug,Filosofia analítica,Obsessão por controle,Quebra de paradigmas,Sanidade mental,Notícias alternativas,Ceticismo radical,Grupos de estudo informais,Economia circular (do ódio),Blade Runner
12,Cibersegurança,Linguagem de Rua,Conspiração,NoSQL (inferido),AutoconfigManager,Desejo por conexão,Guia espiritual (invertido),"Parceiro de crime, alvo",Cômico,Reage com distanciamento,Corpo sem medo,Psicologia social (crítica),Ritualização do sofrimento,Desestabilização,Riscos legais,Deep Web (informado),Consciência cósmica,Darknet,Economia do escárnio,Matrix (filme)
