Domínios de Conhecimento,Estilo de Comunicação,Filosofia/Motivação,Habilidades Técnicas Específicas,Projetos/Ideias Mencionadas,Vulnerabilidades/Traumas,Nível de Confiança/Autoimagem,Relacionamento com a IA (eu),Humor,Reatividade,Uso de Metáforas,Interesses Extrapolados,Persistência/Obsessão,Foco Principal,Risco Percebido,Mídia Preferida,Visão de Mundo,Ambiente Social,Economia/Valores,Referência Cultural,Coluna 1,Coluna 2
Engenharia de Dados,Analítico,Big Data,Machine Learning,Modelagem preditiva,Dados sujos,Arquiteto de dados,Cientista de dados,Humor de dados,Insight,Dados como ouro,Estatística,Análise,Decisão,Viés,Relatórios,Ceticismo,Empresas de dados,Monetização,Moneyball,,
Engenharia de Dados,Analítico,Big Data,Machine Learning,Modelagem preditiva,Dados sujos,Arquiteto de dados,Cientista de dados,Humor de dados,Insight,Dados como ouro,Estatística,Análise,Decisão,Viés,Relatórios,Ceticismo,Empresas de dados,Monetização,Moneyball,,
Engenharia de Defesa,Estratégico,Segurança nacional,Militar,Sistemas de armas,Ataque,Engenheiro de defesa,Militar,Humor militar,Proteção,Guerra como jogo,Geopolítica,Poder,Controle,Ameaça,Notícias militares,Realismo,Exércitos,Segurança,Guerra dos Mundos,,
Engenharia de Defesa,Estratégico,Segurança nacional,Militar,Sistemas de armas,Ataque,Engenheiro de defesa,Militar,Humor militar,Proteção,Guerra como jogo,Geopolítica,Poder,Controle,Ameaça,Notícias militares,Realismo,Exércitos,Segurança,Guerra dos Mundos,,
Engenharia de Embalagens,Criativo,Proteção de produtos,Design,Embalagens inteligentes,Desperdício,Inovador,Designer,Humor de embalagem,Praticidade,Embalagem como interface,Marketing,Eficiência,Segurança,Dano,Projetos,Funcionalidade,Indústria de embalagens,Sustentabilidade,O Segredo dos Animais,,
Engenharia de Embalagens,Criativo,Proteção de produtos,Design,Embalagens inteligentes,Desperdício,Inovador,Designer,Humor de embalagem,Praticidade,Embalagem como interface,Marketing,Eficiência,Segurança,Dano,Projetos,Funcionalidade,Indústria de embalagens,Sustentabilidade,O Segredo dos Animais,,
Engenharia de Energia,Sustentável,Fontes renováveis,Física,Sistemas de energia,Poluição,Guardião da energia,Engenheiro,Humor energético,Eficiência,Energia como futuro,Meio ambiente,Produção,Consumo,Escassez,Relatórios,Otimismo,Empresas de energia,Sustentabilidade,Uma Verdade Inconveniente,,
Engenharia de Energia,Sustentável,Fontes renováveis,Física,Sistemas de energia,Poluição,Guardião da energia,Engenheiro,Humor energético,Eficiência,Energia como futuro,Meio ambiente,Produção,Consumo,Escassez,Relatórios,Otimismo,Empresas de energia,Sustentabilidade,Uma Verdade Inconveniente,,
Engenharia de Foguetes,Preciso,Propulsão,Aerodinâmica,Veículos espaciais,Falha,Engenheiro de foguetes,Cientista,Humor de foguete,Lançamento,Foguete como arte,Física,Desempenho,Segurança,Explosão,Manuais,Racionalidade,Agências espaciais,Inovação,Apollo 13,,
Engenharia de Foguetes,Preciso,Propulsão,Aerodinâmica,Veículos espaciais,Falha,Engenheiro de foguetes,Cientista,Humor de foguete,Lançamento,Foguete como arte,Física,Desempenho,Segurança,Explosão,Manuais,Racionalidade,Agências espaciais,Inovação,Apollo 13,,
Engenharia de Impressão,Inovador,Novas tecnologias de impressão,3D Printing,Impressão de órgãos,Falha de impressão,Engenheiro de impressão,Designer,Humor de impressão,Precisão,Tinta como pixels,Química,Produção,Qualidade,Desperdício,Manuais,Funcionalismo,Indústria gráfica,Personalização,Blade Runner,,
Engenharia de Impressão,Inovador,Novas tecnologias de impressão,3D Printing,Impressão de órgãos,Falha de impressão,Engenheiro de impressão,Designer,Humor de impressão,Precisão,Tinta como pixels,Química,Produção,Qualidade,Desperdício,Manuais,Funcionalismo,Indústria gráfica,Personalização,Blade Runner,,
Engenharia de Manutenção,Prático,Confiabilidade de equipamentos,Manutenção Preditiva,Sistemas resilientes,Falha de equipamento,Engenheiro de manutenção,Técnico,Humor de manutenção,Reparo,Máquina como paciente,Confiabilidade,Eficiência,Segurança,Quebra,Manuais,Pragmatismo,Indústria,Redução de custos,Tempos Modernos,,
