Índice,Domínios de Conhecimento,Estilo de Comunicação,Filosofia/Motivação,Habilidades Técnicas Específicas,Projetos/Ideias Mencionadas,Vulnerabilidades/Traumas,Nível de Confiança/Autoimagem,Relacionamento com a IA,Humor,Reatividade,Uso de Metáforas,Interesses Extrapolados,Persistência/Obsessão,Foco Principal,Risco Percebido,Mídia Preferida,Visão de Mundo,Ambiente Social,Economia/Valores,Referência Cultural,Valência
200,Low-level,Gírias,Anti-sistema,Bitmask,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Reage a críticas com desafio,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Giphy,Cinismo,LinkedIn,Desprezo por dinheiro convencional,Neuromancer,1.0
199,Otimização,Agressivo,Busca por validação,CUDA,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Validação é bem-vinda,Hacking para sedução,NFTs,Túmulo cósmico,Otimização extrema,Exposição,Vídeos 8-bit,Realismo cético,4chan,Economia do ódio,Banksy,0.9
198,IA,Sarcástico,Provocação,Swarm,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage a críticas com desafio,Código para vida,Ativismo,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,TikTok,Cinismo,WhatsApp,Desprezo por dinheiro convencional,Neuromancer,0.8
197,Geopolítica,Código na fala,Ética hacker,Hardware low-cost,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Validação é bem-vinda,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Exposição,Giphy,Realismo cético,LinkedIn,Economia do ódio,Banksy,0.7
196,Low-level,Gírias,Anti-sistema,Java,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Reage a críticas com desafio,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Vídeos 8-bit,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer,0.6
195,Otimização,Agressivo,Busca por validação,C,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Validação é bem-vinda,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Exposição,TikTok,Realismo cético,WhatsApp,Economia do ódio,Banksy,0.5
194,IA,Sarcástico,Provocação,Bitmask,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Reage a críticas com desafio,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Giphy,Cinismo,LinkedIn,Desprezo por dinheiro convencional,Neuromancer,0.4
193,Geopolítica,Código na fala,Ética hacker,CUDA,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Validação é bem-vinda,Hacking para sedução,NFTs,Túmulo cósmico,Otimização extrema,Exposição,Vídeos 8-bit,Realismo cético,4chan,Economia do ódio,Banksy,0.3
192,Low-level,Gírias,Anti-sistema,Swarm,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage a críticas com desafio,Código para vida,Ativismo,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,TikTok,Cinismo,WhatsApp,Desprezo por dinheiro convencional,Neuromancer,0.2
191,Otimização,Agressivo,Busca por validação,Hardware low-cost,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Validação é bem-vinda,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Exposição,Giphy,Realismo cético,LinkedIn,Economia do ódio,Banksy,0.1
190,IA,Sarcástico,Provocação,Java,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Reage a críticas com desafio,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Vídeos 8-bit,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer,0.0
189,Geopolítica,Código na fala,Ética hacker,C,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Validação é bem-vinda,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Exposição,TikTok,Realismo cético,WhatsApp,Economia do ódio,Banksy,-0.1
188,Low-level,Gírias,Anti-sistema,Bitmask,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Reage a críticas com desafio,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Giphy,Cinismo,LinkedIn,Desprezo por dinheiro convencional,Neuromancer,-0.2
187,Otimização,Agressivo,Busca por validação,CUDA,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Validação é bem-vinda,Hacking para sedução,NFTs,Túmulo cósmico,Otimização extrema,Exposição,Vídeos 8-bit,Realismo cético,4chan,Economia do ódio,Banksy,-0.3
186,IA,Sarcástico,Provocação,Swarm,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage a críticas com desafio,Código para vida,Ativismo,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,TikTok,Cinismo,WhatsApp,Desprezo por dinheiro convencional,Neuromancer,-0.4
185,Geopolítica,Código na fala,Ética hacker,Hardware low-cost,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Validação é bem-vinda,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Exposição,Giphy,Realismo cético,LinkedIn,Economia do ódio,Banksy,-0.5
184,Low-level,Gírias,Anti-sistema,Java,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Reage a críticas com desafio,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Vídeos 8-bit,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer,-0.6
183,Otimização,Agressivo,Busca por validação,C,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Validação é bem-vinda,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Exposição,TikTok,Realismo cético,WhatsApp,Economia do ódio,Banksy,-0.7
182,IA,Sarcástico,Provocação,Bitmask,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Reage a críticas com desafio,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Giphy,Cinismo,LinkedIn,Desprezo por dinheiro convencional,Neuromancer,-0.8
181,Geopolítica,Código na fala,Ética hacker,CUDA,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Validação é bem-vinda,Hacking para sedução,NFTs,Túmulo cósmico,Otimização extrema,Exposição,Vídeos 8-bit,Realismo cético,4chan,Economia do ódio,Banksy,-0.9
180,Low-level,Gírias,Anti-sistema,Swarm,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage a críticas com desafio,Código para vida,Ativismo,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,TikTok,Cinismo,WhatsApp,Desprezo por dinheiro convencional,Neuromancer,-1.0
179,Otimização,Agressivo,Busca por validação,Hardware low-cost,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Validação é bem-vinda,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Exposição,Giphy,Realismo cético,LinkedIn,Economia do ódio,Banksy,1.0
178,IA,Sarcástico,Provocação,Java,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Reage a críticas com desafio,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Vídeos 8-bit,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer,0.9
177,Geopolítica,Código na fala,Ética hacker,C,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Validação é bem-vinda,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Exposição,TikTok,Realismo cético,WhatsApp,Economia do ódio,Banksy,0.8
176,Low-level,Gírias,Anti-sistema,Bitmask,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Reage a críticas com desafio,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Giphy,Cinismo,LinkedIn,Desprezo por dinheiro convencional,Neuromancer,0.7
175,Otimização,Agressivo,Busca por validação,CUDA,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Validação é bem-vinda,Hacking para sedução,NFTs,Túmulo cósmico,Otimização extrema,Exposição,Vídeos 8-bit,Realismo cético,4chan,Economia do ódio,Banksy,0.6
174,IA,Sarcástico,Provocação,Swarm,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage a críticas com desafio,Código para vida,Ativismo,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,TikTok,Cinismo,WhatsApp,Desprezo por dinheiro convencional,Neuromancer,0.5
